question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
69095606,69095633,5,0,0,0,-2.30191562542581,0.1107819676399231,-0.25501074232575544
9539921,70002467,11,0,0,0,-2.197224547533897,0.0679863691329956,-0.1493813191567188
9539921,67103403,75,0,0,0,-2.314724486077813,0.0679863691329956,-0.15736971335166974
9539921,72512025,1,0,0,0,-2.317113511448445,0.0679863691329956,-0.15753213451238562
9539921,71352026,1,0,0,0,-2.2894880417465124,0.0679863691329956,-0.15565397913175766
9539921,70710559,22,0,0,0,-2.288508095441762,0.0679863691329956,-0.15558735614055236
9539921,9539977,421,0,0,0,-2.2644315763838176,0.0679863691329956,-0.15395048102844136
9539921,9539945,301,0,0,0,-2.2709387389184514,0.0679863691329956,-0.15439287938252938
71618699,71618773,1,0,0,0,-2.1614458859016685,0.13246041536331177,-0.2863060198318564
68168201,68407936,1,0,0,0,-2.3173005569872513,0.11179757118225098,-0.2590685739704521
68168201,68168423,0,0,0,0,-2.23230525192103,0.11179757118225098,-0.24956630530215404
68168201,68168421,0,0,0,0,-2.197224547533897,0.11179757118225098,-0.24564436775631007
67402942,67403023,1,0,0,0,-2.191805859832449,0.4317936301231384,-0.9464078087422197
67402942,67402968,3,0,0,0,-2.1487002703182054,0.4317936301231384,-0.9277950897672668
67027960,67040767,1,0,0,0,-2.1394198966691467,0.175725519657135,-0.37595067310699987
67027960,67028677,3,0,0,0,-2.120245568665517,0.175725519657135,-0.3725812543544857
67027960,67028449,2,0,0,0,-2.132767402617829,0.175725519657135,-0.3747816601328161
63808915,63812075,4,0,0,0,-2.163100059764289,0.07899463176727295,-0.17087329269684612
63808915,63810326,2,0,0,0,-2.162687654469897,0.07899463176727295,-0.17084071489247674
63808915,63810047,2,0,0,0,-2.1607501151401776,0.07899463176727295,-0.17068765968659094
56817339,56817421,4,0,0,0,-2.153176599668386,0.176108717918396,-0.3791931704194908
50397741,50397783,3,0,0,0,-2.1428056246509177,0.2747569680213928,-0.5887507764882729
49583152,49583388,1,0,0,0,-2.1614562080597124,0.0950937271118164,-0.20554092681337174
