question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
18425225,58451182,250,61.75,61.25,86.62058069535206,-2.177987434093811,0.1509883999824524,-0.3288508378557115
18425225,75046191,0,-0.75,-1.25,-1.7677669529663687,-2.197224558709768,0.1509883999824524,-0.3317554205217379
18425225,73495512,0,-0.75,-1.25,-1.7677669529663687,-2.1830340864280524,0.1509883999824524,-0.3296128238169263
18425225,72890920,0,-0.75,-1.25,-1.7677669529663687,-2.1616579145436168,0.1509883999824524,-0.3263852698263455
18425225,71962669,1,-0.5,-1.0,-1.414213562373095,-2.113025531185039,0.1509883999824524,-0.3190423440757006
18425225,71712672,0,-0.75,-1.25,-1.7677669529663687,-2.194650987025522,0.1509883999824524,-0.3313668410508934
18425225,59364138,93,22.5,22.0,31.11269837220809,-2.2128184509982614,0.1509883999824524,-0.3341099173678762
18425225,69960020,1,-0.5,-1.0,-1.414213562373095,-2.191460392169537,0.1509883999824524,-0.330885098238596
18425225,18425523,151,37.0,36.5,51.61879502661797,-2.1895373853630593,0.1509883999824524,-0.3305947465177306
18425225,69496355,0,-0.75,-1.25,-1.7677669529663687,-2.1878171227264094,0.1509883999824524,-0.33033500681467326
18425225,67419557,2,-0.25,-0.75,-1.0606601717798212,-2.080147624133769,0.1509883999824524,-0.3140781614952575
18425225,54423514,3,0.0,-0.5,-0.7071067811865475,-2.043945149227481,0.1509883999824524,-0.30861200773375225
18425225,66833271,0,-0.75,-1.25,-1.7677669529663687,-2.1478421673708468,0.1509883999824524,-0.32429925226616685
18425225,65678960,2,-0.25,-0.75,-1.0606601717798212,-2.14772440250009,0.1509883999824524,-0.32428147113675715
18425225,59804094,16,3.25,2.75,3.8890872965260113,-2.170235613252053,0.1509883999824524,-0.3276804028298638
18425225,63171710,4,0.25,-0.25,-0.35355339059327373,-2.1219391562325653,0.1509883999824524,-0.3203881980596701
18425225,60826880,6,0.75,0.25,0.35355339059327373,-2.124755025082168,0.1509883999824524,-0.32081336159183205
18425225,59721785,1,-0.5,-1.0,-1.414213562373095,-2.1577327678215177,0.1509883999824524,-0.3257926182030794
18425225,59079732,2,-0.25,-0.75,-1.0606601717798212,-2.1592654725003047,0.1509883999824524,-0.32602403883017506
18425225,54999371,9,1.5,1.0,1.414213562373095,-2.061954525481956,0.1509883999824524,-0.31133121463909735
18425225,57503767,0,-0.75,-1.25,-1.7677669529663687,-2.0340777698052297,0.1509883999824524,-0.30712214790276676
18425225,18425312,8,1.25,0.75,1.0606601717798212,-2.185692200628771,0.1509883999824524,-0.3300141682270634
18425225,54033089,2,-0.25,-0.75,-1.0606601717798212,-2.192581870307065,0.1509883999824524,-0.3310544284281967
18425225,53684586,0,-0.75,-1.25,-1.7677669529663687,-2.178458701868982,0.1509883999824524,-0.3289219938230479
18425225,18425285,32,7.25,6.75,9.54594154601839,-2.1146097519553355,0.1509883999824524,-0.31928154303502665
18425225,51347986,14,2.75,2.25,3.181980515339464,-2.1836377256758324,0.1509883999824524,-0.3297039663411152
18425225,46471018,4,0.25,-0.25,-0.35355339059327373,-2.158876524214039,0.1509883999824524,-0.3259653121507559
18425225,40536047,49,11.5,11.0,15.556349186104045,-2.097939614332988,0.1509883999824524,-0.3167645456279411
18425225,18425275,136,33.25,32.75,46.31549416771886,-2.1144819339007808,0.1509883999824524,-0.31926224399148057
18425225,30922184,9,1.5,1.0,1.414213562373095,-2.184761330671961,0.1509883999824524,-0.329873617661693
18425225,19201952,16,3.25,2.75,3.8890872965260113,-2.197224558709768,0.1509883999824524,-0.3317554205217379
18425225,18425336,4,0.25,-0.25,-0.35355339059327373,-2.1694483806293285,0.1509883999824524,-0.3275615398357447
1538342,1538380,57,13.5,13.0,18.384776310850235,-1.8498242852034608,0.04883831739425659,-0.09034230556437045
1538342,54349277,0,-0.75,-1.25,-1.7677669529663687,-1.813291491580569,0.04883831739425659,-0.08855810539411678
1538342,71715076,-1,-1.0,-1.5,-2.1213203435596424,,,
1538342,68743685,1,-0.5,-1.0,-1.414213562373095,-1.9076059204148086,0.04883831739425659,-0.0931642634043814
1538342,64053336,0,-0.75,-1.25,-1.7677669529663687,-2.1512740480063264,0.04883831739425659,-0.10506460475856017
1538342,16139159,11,2.0,1.5,2.1213203435596424,-1.9751000349325327,0.04883831739425659,-0.09646056239144231
1538342,39240374,0,-0.75,-1.25,-1.7677669529663687,-1.8566559008269512,0.04883831739425659,-0.09067595017650604
1538342,30019808,0,-0.75,-1.25,-1.7677669529663687,-1.886590639475596,0.04883831739425659,-0.09213791244374267
1538342,30019630,10,1.75,1.25,1.7677669529663687,-1.8043467316462585,0.04883831739425659,-0.0881212583694295
1538342,21339843,8,1.25,0.75,1.0606601717798212,-1.85244018734068,0.04883831739425659,-0.09047006182322027
1538342,23258737,0,-0.75,-1.25,-1.7677669529663687,-1.823073914145526,0.04883831739425659,-0.0890358624522289
1538342,1538399,17,3.5,3.0,4.242640687119285,-1.9196501093182012,0.04883831739425659,-0.09375248132480167
1538342,1539517,2,-0.25,-0.75,-1.0606601717798212,-1.831305608439808,0.04883831739425659,-0.08943788455086553
1538342,1539174,1,-0.5,-1.0,-1.414213562373095,-1.8647160086485703,0.04883831739425659,-0.0910695922805302
1538342,1539123,1,-0.5,-1.0,-1.414213562373095,-1.9732601034533601,0.04883831739425659,-0.0963707032338788
1538342,1539112,0,-0.75,-1.25,-1.7677669529663687,-1.8863827236522643,0.04883831739425659,-0.09212775818477151
1538342,1538772,1,-0.5,-1.0,-1.414213562373095,-1.8591665689034138,0.04883831739425659,-0.09079856698089595
1538342,1538466,0,-0.75,-1.25,-1.7677669529663687,-1.8891573575379217,0.04883831739425659,-0.0922632666351321
71790856,71791073,1,-0.5,-1.0,-1.414213562373095,-1.8227150116835587,0.10391420125961304,-0.18940597456300323
