question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
71785266,71785774,1,0,0,0,-1.8056386374009357,0.30291616916656494,-0.5469571389406277
68152369,68153138,3,0,0,0,-2.380768814515145,0.4253098964691162,-1.0125645380183368
66869073,66869622,0,0,0,0,-2.2153838772953502,0.21634775400161743,-0.47929332610424386
66869073,66869176,-1,0,0,0,,,
64834953,64836766,3,0,0,0,-2.6477099441685468,0.23531293869018555,-0.6230404077615278
59221031,59221129,0,0,0,0,-2.100004129450326,0.39179182052612305,-0.8227644409897195
1977362,35904211,127,0,0,0,-1.6640081415872974,0.14853441715240479,-0.24716247944752548
1977362,34168541,36,0,0,0,-1.6748875661069376,0.14853441715240479,-0.24877844842750382
1977362,1978217,-12,0,0,0,,,
1977362,1978076,314,0,0,0,-1.6636715183807629,0.14853441715240479,-0.2471124793157429
1977362,1977383,8,0,0,0,-1.7464579258030217,0.14853441715240479,-0.2594091100903496
48869966,48870337,5,0,0,0,-1.6777388867514,0.18363893032073975,-0.30809817452053584
