question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
6159900,75427193,0,0.0,-0.5,-1.0,-2.365993777698959,0.10190123319625854,-0.24109768368219833
6159900,6159910,62,15.5,15.0,30.0,-2.468541211498818,0.10190123319625854,-0.25154739364751566
6159900,6159912,1007,251.75,251.25,502.5,-2.647569048753343,0.10190123319625854,-0.2697905510402108
6159900,6160082,1504,376.0,375.5,751.0,-2.5450701739488344,0.10190123319625854,-0.25934578929640245
6159900,66576132,4,1.0,0.5,1.0,-2.4140956208867346,0.10190123319625854,-0.2459993208220457
6159900,65015943,-2,-0.5,-1.0,-2.0,,,
6159900,63796747,6,1.5,1.0,2.0,-2.643828105189861,0.10190123319625854,-0.26940934427777435
6159900,39168994,8,2.0,1.5,3.0,-2.608047721394775,0.10190123319625854,-0.2657632790448197
6159900,52290101,17,4.25,3.75,7.5,-2.5986258128040842,0.10190123319625854,-0.26480317494036587
6159900,12871858,131,32.75,32.25,64.5,-2.608123284355459,0.10190123319625854,-0.2657709790036974
6159900,59444846,1,0.25,-0.25,-0.5,-2.41316111382646,0.10190123319625854,-0.2459040934001731
6159900,56901429,1,0.25,-0.25,-0.5,-2.583714094448459,0.10190123319625854,-0.2632836524508524
6159900,56594378,0,0.0,-0.5,-1.0,-2.5625586043316364,0.10190123319625854,-0.26112788191907693
6159900,52080154,4,1.0,0.5,1.0,-2.318610036099727,0.10190123319625854,-0.2362692219797837
6159900,39474750,18,4.5,4.0,8.0,-2.6811714566086104,0.10190123319625854,-0.2732146778390262
6159900,6165711,92,23.0,22.5,45.0,-2.6545062423646706,0.10190123319625854,-0.2704974596241263
6159900,6159915,24,6.0,5.5,11.0,-2.4493935701395166,0.10190123319625854,-0.24959622538020315
4005952,4006112,10,2.5,2.0,4.0,-1.6362504607530903,0.022274792194366455,-0.03644713899121145
4005952,4039268,2,0.5,0.0,0.0,-1.7168310239122901,0.022274792194366455,-0.03824205429048765
4005952,4007124,-2,-0.5,-1.0,-2.0,,,
4005952,4006001,4,1.0,0.5,1.0,-1.797614070378613,0.022274792194366455,-0.04004147986335284
4005952,4039302,0,0.0,-0.5,-1.0,-1.9238598590900229,0.022274792194366455,-0.04285357857231339
4005952,4006000,0,0.0,-0.5,-1.0,-1.711349279907771,0.022274792194366455,-0.03811994958192427
4005952,4005967,17,4.25,3.75,7.5,-1.7456241623680937,0.022274792194366455,-0.038883415466214294
4005952,4005957,23,5.75,5.25,10.5,-2.197224547533897,0.022274792194366455,-0.04894272020067842
70051408,70051452,0,0.0,-0.5,-1.0,-2.459166817479727,0.09113484621047974,-0.22411578971692983
70051408,70051424,0,0.0,-0.5,-1.0,-2.5172335957096883,0.09113484621047974,-0.22940769662085536
69959986,69960072,0,0.0,-0.5,-1.0,-1.8609683614330577,0.09393662214279175,-0.17481308178762744
69959986,69960088,1,0.25,-0.25,-0.5,-1.7198423421553142,0.09393662214279175,-0.1615561802402177
69959986,69960026,0,0.0,-0.5,-1.0,-1.7981339596769108,0.09393662214279175,-0.1689106303322919
67347822,67349311,0,0.0,-0.5,-1.0,-1.9167223665865678,0.19111818075180054,-0.36632049170831055
67347822,67347936,3,0.75,0.25,0.5,-1.9372629739391505,0.19111818075180054,-0.3702461752170732
67347822,67347879,0,0.0,-0.5,-1.0,-2.197224547533897,0.19111818075180054,-0.41992955822787653
4172448,36882925,46,11.5,11.0,22.0,-1.7881406544817713,0.13491439819335938,-0.24124592028448794
4172448,4172475,9,2.25,1.75,3.5,-1.7023494690543455,0.13491439819335938,-0.22967145413225187
4172448,4172465,750,187.5,187.0,374.0,-1.6401234926383117,0.13491439819335938,-0.22127627397208852
4172448,46326379,11,2.75,2.25,4.5,-1.7133144978043098,0.13491439819335938,-0.2311507943872262
4172448,38224926,15,3.75,3.25,6.5,-1.7524687704920217,0.13491439819335938,-0.23643326952358754
4172448,4172487,246,61.5,61.0,122.0,-1.671453251769774,0.13491439819335938,-0.22550310957085265
4172448,4172466,24,6.0,5.5,11.0,-2.197224547533897,0.13491439819335938,-0.2964372275262121
58550806,58550959,1,0.25,-0.25,-0.5,-1.8277649803151559,0.24958574771881104,-0.4561840892662161
58550806,58550900,4,1.0,0.5,1.0,-1.746710432397152,0.24958574771881104,-0.4359540293180909
42309810,42309846,2,0.5,0.0,0.0,-2.5820135158930433,0.11726987361907959,-0.3027923986915325
42309810,42309842,2,0.5,0.0,0.0,-2.197224547533897,0.11726987361907959,-0.25766824500203944
42309810,42309840,7,1.75,1.25,2.5,-2.5158872815881286,0.11726987361907959,-0.2950377835516895
41772774,41772854,6,1.5,1.0,2.0,-1.7900606309744012,0.21989881992340088,-0.3936322203426092
39067759,39067866,0,0.0,-0.5,-1.0,-2.310811330407541,0.18629783391952515,-0.43049914545162105
39067759,39067798,2,0.5,0.0,0.0,-2.546520123179721,0.18629783391952515,-0.47441118298086443
39067759,39068229,4,1.0,0.5,1.0,-2.296484735172884,0.18629783391952515,-0.4278301317919626
