question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
74746357,74746462,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.5393214720748767,0.10912275314331055,-0.2770977501487347
74746357,74746676,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.4045686309533174,0.10912275314331055,-0.26239314913166706
74746357,74746577,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.49966691325742,0.10912275314331055,-0.2727705355158905
68717273,68717304,1,0.3333333333333333,-0.11111111111111109,-0.2182178902359923,-2.5279313015066616,0.3426234722137451,-0.8661286000400242
11723217,11723328,26,8.666666666666666,8.222222222222223,16.148123877463437,-2.5169834216548663,0.13805431127548218,-0.3474804127683691
11723217,11723478,8,2.6666666666666665,2.2222222222222223,4.364357804719847,-2.138964825595986,0.13805431127548218,-0.2952933158401357
11723217,11723314,4,1.3333333333333333,0.888888888888889,1.7457431218879391,-2.2494460886776504,0.13805431127548218,-0.31054573052372025
66039869,66039891,3,1.0,0.5555555555555556,1.0910894511799618,-2.311171473247064,0.13586008548736572,-0.3139959539313071
66039869,66039981,1,0.3333333333333333,-0.11111111111111109,-0.2182178902359923,-2.5044198740046375,0.13586008548736572,-0.34025069817852777
66039869,66039895,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.445425186843651,0.13586008548736572,-0.3322356749375357
19837486,57288183,12,4.0,3.5555555555555554,6.982972487551756,-2.3835574285372187,0.22070395946502686,-0.5260605620904419
19837486,19837683,118,39.333333333333336,38.88888888888889,76.37626158259734,-2.534538822439174,0.22070395946502686,-0.5593827535301523
19837486,46847190,3,1.0,0.5555555555555556,1.0910894511799618,-2.4902252503363798,0.22070395946502686,-0.5496025727090267
19837486,19837590,31,10.333333333333334,9.88888888888889,19.42139223100332,-2.505301706563599,0.22070395946502686,-0.5529300062930752
33983980,63044909,-2,-0.6666666666666666,-1.111111111111111,-2.1821789023599236,,,
33983980,57736125,19,6.333333333333333,5.888888888888889,11.565548182507596,-1.8863425529680304,0.09046471118927002,-0.17064743425828316
33983980,33984811,39,13.0,12.555555555555555,24.658621596667135,-1.7084451425990497,0.09046471118927002,-0.15455399640793427
72921131,72921246,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.3128068750312623,0.1506548523902893,-0.3484355783650811
72921131,72921569,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.792119694757507,0.1506548523902893,-0.42064638046971187
72921131,72921188,3,1.0,0.5555555555555556,1.0910894511799618,-2.9366840936661602,0.1506548523902893,-0.4424257086481859
72921131,72921203,0,0.0,-0.4444444444444444,-0.8728715609439694,-2.281060947252983,0.1506548523902893,-0.34365290030165163
72921131,72921168,1,0.3333333333333333,-0.11111111111111109,-0.2182178902359923,-2.564184841471284,0.1506548523902893,-0.38630688879327363
63123011,63123965,1,0.3333333333333333,-0.11111111111111109,-0.2182178902359923,-1.6499759223924146,0.11590653657913208,-0.1912429946034636
63123011,63123379,2,0.6666666666666666,0.22222222222222224,0.4364357804719848,-1.8018627721725722,0.11590653657913208,-0.20884767331339657
63123011,63123301,-1,-0.3333333333333333,-0.7777777777777777,-1.5275252316519463,,,
62429039,62429146,3,1.0,0.5555555555555556,1.0910894511799618,-1.8903645413096763,0.06816387176513672,-0.12885456618319427
62429039,62429245,1,0.3333333333333333,-0.11111111111111109,-0.2182178902359923,-1.714489147410011,0.06816387176513672,-0.11686621838677458
62429039,62429135,0,0.0,-0.4444444444444444,-0.8728715609439694,-1.8892350122614963,0.06816387176513672,-0.12877757310999913
