question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score
370357,73661023,2,0.01027 ,-0.10690 ,-0.39719 ,-2.111401506,0.099975765,-0.21108898
370357,71914016,-1,0.00000 ,-0.11717 ,-0.43536 ,,,
370357,75045222,0,0.00342 ,-0.11375 ,-0.42263 ,-2.101178773,0.099975765,-0.210066955
370357,72633950,0,0.00342 ,-0.11375 ,-0.42263 ,-2.123339414,0.099975765,-0.212282482
370357,370363,291,1.00000 ,0.88283 ,3.28019 ,-2.076021065,0.099975765,-0.207551794
370357,370380,90,0.31164 ,0.19447 ,0.72257 ,-2.105413347,0.099975765,-0.21049031
370357,476123,2,0.01027 ,-0.10690 ,-0.39719 ,-2.09932728,0.099975765,-0.20988185
370357,370364,12,0.04452 ,-0.07265 ,-0.26994 ,-2.081589517,0.099975765,-0.208108504
370357,40409182,2,0.01027 ,-0.10690 ,-0.39719 ,-2.106153782,0.099975765,-0.210564335
370357,34153129,0,0.00342 ,-0.11375 ,-0.42263 ,-2.106313049,0.099975765,-0.210580258
370357,24035261,8,0.03082 ,-0.08635 ,-0.32084 ,-2.104816002,0.099975765,-0.210430589
370357,1745180,5,0.02055 ,-0.09662 ,-0.35901 ,-2.110402538,0.099975765,-0.210989108
370357,370830,52,0.18151 ,0.06433 ,0.23904 ,-2.09314803,0.099975765,-0.209264075
370357,370752,2,0.01027 ,-0.10690 ,-0.39719 ,-2.08153717,0.099975765,-0.20810327
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
75285659,75285878,0,0,-0.5,-0.707106781,-2.115106209,0.274059474,-0.579664896
74454491,74454524,0,0,-0.5,-0.707106781,-2.164323974,0.339482546,-0.734750213
74412503,74412647,1,0.333333333,-0.166666667,-0.23570226,-2.040892108,0.176679552,-0.360583903
74412503,74412646,4,1.333333333,0.833333333,1.178511302,-2.036923929,0.176679552,-0.359882806
74412503,74412557,0,0,-0.5,-0.707106781,-2.075404983,0.176679552,-0.366681622
74297211,74297685,0,0,-0.5,-0.707106781,-2.029395409,0.147347629,-0.299026602
71229025,71229058,1,0.333333333,-0.166666667,-0.23570226,-2.212233452,0.049118698,-0.108662026
71164122,71164410,1,0.333333333,-0.166666667,-0.23570226,-2.028436041,0.127379894,-0.258381968
10851906,10851939,103,34.33333333,33.83333333,47.84755886,-2.275574739,0.324204028,-0.737750496
10851906,10852003,700,233.3333333,232.8333333,329.2760578,-2.193881187,0.324204028,-0.711265117
10851906,21836774,5,1.666666667,1.166666667,1.649915823,-2.241702482,0.324204028,-0.726768973
10851906,26579841,14,4.666666667,4.166666667,5.89255651,-2.252642549,0.324204028,-0.730315787
10851906,10852006,158,52.66666667,52.16666667,73.7748075,-2.098832507,0.324204028,-0.680449952
72836900,72836918,2,0.666666667,0.166666667,0.23570226,-2.135587494,0.063131571,-0.134822993
53956502,53956563,3,1,0.5,0.707106781,-2.306621856,0.212275684,-0.489639732
53956502,53956671,0,0,-0.5,-0.707106781,-2.271674441,0.212275684,-0.482221246
